,area_title,geographic_level,State,msa_name,geoid,percent_fossil_employees,meets_fossil_threshold,local_area_unemployment,national_unemployment_rate_prev_year,meets_unemployment_criteria
2319,"Louisville-Jefferson County, KY-IN MSA",metropolitan_stat_area,Indiana,"Louisville/Jefferson County, KY-IN",31140,0.25462230478273484,1,6.5,3.7,1
2320,"Louisville-Jefferson County, KY-IN MSA",metropolitan_stat_area,Indiana,"Louisville/Jefferson County, KY-IN",31140,0.25462230478273484,1,6.5,3.7,1
2321,"Louisville-Jefferson County, KY-IN MSA",metropolitan_stat_area,Kentucky,"Louisville/Jefferson County, KY-IN",31140,0.25462230478273484,1,6.5,3.7,1
2322,"Louisville-Jefferson County, KY-IN MSA",metropolitan_stat_area,Kentucky,"Louisville/Jefferson County, KY-IN",31140,0.25462230478273484,1,6.5,3.7,1
2323,"Louisville-Jefferson County, KY-IN MSA",metropolitan_stat_area,Kentucky,"Louisville/Jefferson County, KY-IN",31140,0.25462230478273484,1,6.5,3.7,1
2324,"Louisville-Jefferson County, KY-IN MSA",metropolitan_stat_area,Kentucky,"Louisville/Jefferson County, KY-IN",31140,0.25462230478273484,1,6.5,3.7,1
2325,"Louisville-Jefferson County, KY-IN MSA",metropolitan_stat_area,Kentucky,"Louisville/Jefferson County, KY-IN",31140,0.25462230478273484,1,6.5,3.7,1
2326,"Louisville-Jefferson County, KY-IN MSA",metropolitan_stat_area,Kentucky,"Louisville/Jefferson County, KY-IN",31140,0.25462230478273484,1,6.5,3.7,1
2327,"Louisville-Jefferson County, KY-IN MSA",metropolitan_stat_area,Kentucky,"Louisville/Jefferson County, KY-IN",31140,0.25462230478273484,1,6.5,3.7,1
2380,"Asheville, NC MSA",metropolitan_stat_area,North Carolina,"Asheville, NC",11700,0.2680670002366916,1,7.6,3.7,1
2381,"Asheville, NC MSA",metropolitan_stat_area,North Carolina,"Asheville, NC",11700,0.2680670002366916,1,7.6,3.7,1
2382,"Asheville, NC MSA",metropolitan_stat_area,North Carolina,"Asheville, NC",11700,0.2680670002366916,1,7.6,3.7,1
2383,"Asheville, NC MSA",metropolitan_stat_area,North Carolina,"Asheville, NC",11700,0.2680670002366916,1,7.6,3.7,1
2617,"Chesterfield County, South Carolina",county,South Carolina,Northeast South Carolina nonmetropolitan area,45025,0.2830910482019893,1,12.7,9.6,1
2618,"Chesterfield County, South Carolina",county,South Carolina,Northeast South Carolina nonmetropolitan area,45025,0.27297543221110104,1,11.1,8.9,1
2628,"Cattaraugus County, New York",county,New York,Southwest New York nonmetropolitan area,36009,0.22335358843816716,1,9.7,9.3,1
2630,"Cattaraugus County, New York",county,New York,Southwest New York nonmetropolitan area,36009,0.22808076742469982,1,9.5,8.9,1
2698,"Washington County, Oklahoma",county,Oklahoma,Northeast Oklahoma nonmetropolitan area,40147,1.2010700442212152,1,5.9,3.7,1
2949,"Jasper County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17079,0.6369426751592357,1,4.1,3.9,1
2950,"Jasper County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17079,0.40858018386108275,1,6.2,3.7,1
2958,"Carson City, NV MSA",metropolitan_stat_area,Nevada,"Carson City, NV",16180,0.38244272130802426,1,6.2,5.3,1
3096,"Anchorage, AK MSA",metropolitan_stat_area,Alaska,"Anchorage, AK",11260,1.2147400720569559,1,5.9,5.3,1
3097,"Anchorage, AK MSA",metropolitan_stat_area,Alaska,"Anchorage, AK",11260,1.2147400720569559,1,5.9,5.3,1
3098,"Anchorage, AK MSA",metropolitan_stat_area,Alaska,"Anchorage, AK",11260,1.1964548623436781,1,6.0,4.9,1
3099,"Anchorage, AK MSA",metropolitan_stat_area,Alaska,"Anchorage, AK",11260,1.1964548623436781,1,6.0,4.9,1
3100,"Anchorage, AK MSA",metropolitan_stat_area,Alaska,"Anchorage, AK",11260,1.114467668190725,1,5.4,4.4,1
3101,"Anchorage, AK MSA",metropolitan_stat_area,Alaska,"Anchorage, AK",11260,1.114467668190725,1,5.4,4.4,1
3102,"Anchorage, AK MSA",metropolitan_stat_area,Alaska,"Anchorage, AK",11260,1.2826906349666571,1,4.9,3.9,1
3103,"Anchorage, AK MSA",metropolitan_stat_area,Alaska,"Anchorage, AK",11260,1.2826906349666571,1,4.9,3.9,1
3104,"Anchorage, AK MSA",metropolitan_stat_area,Alaska,"Anchorage, AK",11260,1.7018515745870142,1,8.0,3.7,1
3105,"Anchorage, AK MSA",metropolitan_stat_area,Alaska,"Anchorage, AK",11260,1.7018515745870142,1,8.0,3.7,1
3114,"Crane County, Texas",county,Texas,West Texas Region of Texas nonmetropolitan area,48103,28.678117998506348,1,8.6,5.3,1
3115,"Crane County, Texas",county,Texas,West Texas Region of Texas nonmetropolitan area,48103,23.96972245584525,1,5.3,4.9,1
3117,"Crane County, Texas",county,Texas,West Texas Region of Texas nonmetropolitan area,48103,11.66077738515901,1,4.0,3.9,1
3118,"Crane County, Texas",county,Texas,West Texas Region of Texas nonmetropolitan area,48103,8.083560399636694,1,13.6,3.7,1
3119,"Crane County, Texas",county,Texas,West Texas Region of Texas nonmetropolitan area,48103,10.882604970008568,1,9.6,8.1,1
3276,"Montrose County, Colorado",county,Colorado,Southwest Colorado nonmetropolitan area,08085,1.1495094450139112,1,11.4,9.3,1
3277,"Montrose County, Colorado",county,Colorado,Southwest Colorado nonmetropolitan area,08085,1.242376327083804,1,11.4,9.6,1
3278,"Montrose County, Colorado",county,Colorado,Southwest Colorado nonmetropolitan area,08085,1.56437125748503,1,10.5,8.9,1
3279,"Montrose County, Colorado",county,Colorado,Southwest Colorado nonmetropolitan area,08085,0.3570897187918465,1,9.3,8.1,1
3360,"Cass County, Texas",county,Texas,North Texas Region of Texas nonmetropolitan area,48067,0.4744333157617291,1,11.3,9.3,1
3361,"Cass County, Texas",county,Texas,North Texas Region of Texas nonmetropolitan area,48067,0.7149477028995102,1,11.0,9.6,1
3362,"Cass County, Texas",county,Texas,North Texas Region of Texas nonmetropolitan area,48067,0.7801990852838311,1,9.1,8.9,1
3363,"Cass County, Texas",county,Texas,North Texas Region of Texas nonmetropolitan area,48067,0.5179934569247546,1,9.3,8.1,1
3364,"Cass County, Texas",county,Texas,North Texas Region of Texas nonmetropolitan area,48067,0.4261754193016222,1,7.7,7.4,1
